time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
2422,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2423,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2424,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2425,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2426,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2427,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2428,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2429,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2430,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2431,-0.00001,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,-0.00002,-0.00001,1
2432,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2433,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2434,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2435,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2436,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2438,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2439,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2440,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2441,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2442,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2443,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2444,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2445,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2446,-0.00002,-0.00002,-0.00002,0,-0.00002,0.00001,-0.00002,-0.00001,1
2447,0,-0.00001,0.00004,-0.00003,-0.00001,-0.00001,-0.00001,0,1
2448,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2449,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2450,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2451,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2452,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2453,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2454,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2455,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2456,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2457,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2458,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2459,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2460,-0.00002,-0.00006,-0.00002,-0.00002,-0.00001,-0.00001,-0.00002,-0.00001,1
2461,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2462,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2463,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2464,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2465,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2466,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2467,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2468,-0.00001,-0.00001,-0.00002,0,0.00001,-0.00001,0,-0.00001,1
2469,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2470,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2471,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2472,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2473,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2474,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2475,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2476,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2477,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2478,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2479,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2480,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2481,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2482,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2483,-0.00002,-0.00003,-0.00007,-0.00004,-0.00001,-0.00001,-0.00001,0.00001,1
2484,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2485,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2486,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2488,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2489,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2490,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2491,-0.00001,0,-0.00003,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,1
2492,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2493,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2494,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2495,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2496,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2497,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2498,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2499,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2500,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2501,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2502,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2503,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2504,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2506,0,-0.00002,-0.00004,-0.00002,-0.00003,0,0.00001,-0.00002,1
2507,0,0.00001,-0.00001,0.00001,-0.00001,0,-0.00001,-0.00002,1
2508,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2509,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2510,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2511,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2512,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2513,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2514,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2515,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2516,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2517,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2518,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2519,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2520,-0.00001,0.00001,0.00004,0.00001,-0.00001,0,0,-0.00003,1
2521,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2522,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2523,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2524,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2525,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2526,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2527,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2528,-0.00001,-0.00003,-0.00001,-0.00002,-0.00001,-0.00001,0,-0.00001,1
2529,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2530,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2531,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2532,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2533,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2534,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2535,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2536,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2538,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2539,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2540,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2541,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2542,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2543,0.00001,-0.00003,0.00001,-0.00002,-0.00002,-0.00003,0,0,1
2544,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2545,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2546,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2547,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2548,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2549,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2550,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2551,-0.00002,0,-0.00002,-0.00001,0,-0.00001,-0.00001,0.00001,1
2552,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2553,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2554,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2555,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2556,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2557,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2558,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2559,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2560,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2561,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2562,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2563,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2564,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2565,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2566,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2567,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2568,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2569,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2570,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2571,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2572,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2573,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2574,-0.00003,-0.00005,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,1
2575,0,0.00001,-0.00001,-0.00001,0,-0.00001,-0.00002,-0.00001,1
2576,-0.00002,0.00002,-0.00002,-0.00001,0,0.00002,-0.00002,-0.00002,1
2577,-0.00002,0.00002,-0.00002,-0.00001,0,0.00002,-0.00002,-0.00002,1
2578,-0.00002,0.00002,-0.00002,-0.00001,0,0.00002,-0.00002,-0.00002,1
2579,-0.00002,0.00002,-0.00002,-0.00001,0,0.00002,-0.00002,-0.00002,1
2580,-0.00002,0.00002,-0.00002,-0.00001,0,0.00002,-0.00002,-0.00002,1
2581,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2582,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2583,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2584,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2585,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2586,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2588,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2589,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2590,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2591,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2592,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2593,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2594,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2595,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2596,-0.00003,0,0.00002,0.00001,-0.00002,0,-0.00001,-0.00001,1
2597,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2598,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2599,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2600,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2601,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2602,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2603,-0.00003,0.00002,0.00003,0.00003,0.00002,0,-0.00001,0,1
2604,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2605,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2606,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2607,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2608,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2609,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2610,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2611,-0.00001,-0.00002,-0.00004,-0.00002,-0.00001,-0.00002,-0.00001,-0.00002,1
2612,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2613,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2614,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2615,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2616,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2617,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2618,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2619,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2620,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2621,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2622,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2623,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2624,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2625,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2626,-0.00001,0.00001,-0.00002,-0.00001,-0.00002,0.00001,-0.00001,0,1
2627,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2628,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2629,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2630,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2631,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2632,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2633,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2634,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2635,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2636,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2638,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2639,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2640,0,-0.00001,-0.00002,0,0.00001,-0.00002,0,-0.00002,1
2641,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2642,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2643,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2644,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2645,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2646,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2647,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2648,0.00001,0.00001,-0.00003,-0.00002,-0.00002,-0.00002,-0.00002,-0.00001,1
2649,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2650,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2651,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2652,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2653,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2654,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2655,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2656,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2657,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2658,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2659,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2660,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2661,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2662,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2663,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2664,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2665,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2666,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2667,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2668,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2669,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2670,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2671,0,0.00003,0.00007,0,-0.00001,-0.00002,-0.00002,-0.00001,1
2672,-0.00002,-0.00003,-0.00004,-0.00001,-0.00002,-0.00003,-0.00001,-0.00001,1
2673,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2674,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2675,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2676,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2677,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2678,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2679,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2680,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2681,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2682,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2683,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2684,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2685,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2686,0,-0.00001,-0.00002,-0.00001,0,-0.00001,0,0,1
2688,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2689,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2690,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2691,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2693,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2694,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2695,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2696,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2697,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2698,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2699,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2700,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2701,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2702,-0.00001,-0.00005,-0.00005,-0.00002,0,-0.00002,-0.00001,-0.00001,1
2703,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
2704,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
2705,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
2706,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
2707,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
2708,-0.00001,0,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00001,1
